epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,287.89,0.57996,0.75713,0.4212,0.89806,0.9163,0.58275,0.64736,0.52732,0.88357,0.55132,0.62111,0.43148,0.59833,0.89474,0.44734,0.87885,0.00113038,0.00113038,0.00113038
31,297.198,0.56564,0.75717,0.41967,0.89548,0.91179,0.58703,0.65234,0.53255,0.88067,0.55904,0.63045,0.44143,0.59002,0.87265,0.4254,0.8751,0.00112625,0.00112625,0.00112625
32,306.644,0.56535,0.75354,0.41357,0.89107,0.92612,0.59025,0.65625,0.53193,0.88562,0.56274,0.62985,0.44611,0.58495,0.8329,0.42247,0.8751,0.00112213,0.00112213,0.00112213
33,316.103,0.5605,0.73791,0.40963,0.88692,0.90477,0.59725,0.65581,0.52875,0.87504,0.56726,0.63078,0.43959,0.59361,0.83685,0.43016,0.87332,0.001118,0.001118,0.001118
34,325.437,0.57085,0.73715,0.41087,0.89328,0.92318,0.58749,0.6503,0.53457,0.88491,0.55974,0.62403,0.43812,0.56202,0.80454,0.40908,0.87014,0.00111388,0.00111388,0.00111388
35,334.764,0.55226,0.73664,0.39883,0.88642,0.92541,0.59392,0.66114,0.54346,0.87438,0.56026,0.6274,0.43505,0.56944,0.8483,0.4011,0.87058,0.00110975,0.00110975,0.00110975
36,344.184,0.54847,0.72459,0.3995,0.89078,0.91376,0.59713,0.65538,0.53601,0.87041,0.55565,0.61508,0.42633,0.57668,0.83204,0.41009,0.87067,0.00110563,0.00110563,0.00110563
37,353.502,0.55525,0.73107,0.40382,0.88882,0.93062,0.59421,0.6534,0.536,0.88279,0.56581,0.62754,0.43303,0.5621,0.84864,0.40802,0.86705,0.0011015,0.0011015,0.0011015
38,362.834,0.54863,0.7163,0.40039,0.885,0.92868,0.59871,0.66061,0.54494,0.8977,0.56014,0.63624,0.44972,0.56796,0.80937,0.39297,0.86796,0.00109738,0.00109738,0.00109738
39,372.259,0.54493,0.72362,0.39449,0.88662,0.92452,0.59597,0.6622,0.54584,0.88548,0.5559,0.62753,0.44115,0.56638,0.80756,0.39644,0.8686,0.00109325,0.00109325,0.00109325
40,381.605,0.55028,0.7248,0.39733,0.89091,0.92312,0.59728,0.65853,0.5392,0.88674,0.56452,0.63057,0.44201,0.56653,0.85739,0.40451,0.86678,0.00108913,0.00108913,0.00108913
41,390.994,0.54055,0.70687,0.38603,0.88109,0.92403,0.60242,0.66403,0.54942,0.88091,0.56574,0.63346,0.44262,0.54974,0.8197,0.38445,0.85929,0.001085,0.001085,0.001085
42,400.307,0.53977,0.70931,0.39083,0.88238,0.93479,0.59885,0.67143,0.55404,0.88203,0.56536,0.64092,0.46019,0.5628,0.81658,0.39277,0.86101,0.00108088,0.00108088,0.00108088
43,409.727,0.55144,0.71699,0.39259,0.88742,0.9356,0.59912,0.67133,0.55774,0.88612,0.56696,0.64391,0.44904,0.54784,0.8188,0.39064,0.86371,0.00107675,0.00107675,0.00107675
44,419.064,0.54519,0.72346,0.3969,0.88818,0.92375,0.60028,0.65513,0.53859,0.89651,0.55718,0.62083,0.4288,0.55702,0.80736,0.40774,0.8631,0.00107263,0.00107263,0.00107263
45,428.367,0.53859,0.69235,0.38652,0.88266,0.92434,0.60553,0.67213,0.55358,0.90242,0.57275,0.65356,0.46541,0.55382,0.82035,0.38461,0.86379,0.0010685,0.0010685,0.0010685
46,437.805,0.53472,0.6807,0.38367,0.88301,0.92605,0.59849,0.66352,0.54651,0.88555,0.55755,0.63344,0.44616,0.56165,0.79667,0.40068,0.86771,0.00106437,0.00106437,0.00106437
47,447.131,0.53914,0.69977,0.38835,0.8845,0.91862,0.60258,0.67293,0.55425,0.87175,0.57475,0.6505,0.46546,0.56437,0.81117,0.39517,0.86642,0.00106025,0.00106025,0.00106025
48,456.545,0.52969,0.68099,0.38062,0.88286,0.92605,0.60294,0.67429,0.56322,0.88416,0.55938,0.63653,0.44378,0.52141,0.77181,0.3697,0.85758,0.00105612,0.00105612,0.00105612
49,465.889,0.52,0.66349,0.37044,0.87737,0.91944,0.60471,0.66931,0.55338,0.87204,0.56524,0.63929,0.45888,0.54753,0.82211,0.38063,0.86389,0.001052,0.001052,0.001052
50,475.259,0.52859,0.68919,0.37947,0.88159,0.90669,0.60077,0.65463,0.54136,0.86291,0.56984,0.63093,0.44135,0.56575,0.79882,0.42984,0.88461,0.00104787,0.00104787,0.00104787
51,484.589,0.52976,0.67465,0.3799,0.88109,0.91989,0.60472,0.66659,0.55683,0.89134,0.57372,0.64016,0.46464,0.53731,0.78069,0.37925,0.85954,0.00104375,0.00104375,0.00104375
52,493.954,0.52143,0.66797,0.37232,0.87129,0.9334,0.60529,0.67707,0.56481,0.89337,0.56875,0.64437,0.46186,0.52671,0.80121,0.37432,0.8559,0.00103962,0.00103962,0.00103962
53,503.431,0.52252,0.68065,0.37422,0.87771,0.93101,0.60213,0.66311,0.54689,0.90069,0.56063,0.62822,0.43996,0.54607,0.8231,0.39484,0.8568,0.0010355,0.0010355,0.0010355
54,512.791,0.51563,0.66667,0.37265,0.87341,0.92307,0.60321,0.66669,0.55833,0.8779,0.56961,0.63531,0.45405,0.5287,0.78183,0.3797,0.85404,0.00103138,0.00103138,0.00103138
55,522.154,0.52599,0.68125,0.3747,0.87892,0.91397,0.61056,0.67241,0.55774,0.88953,0.57561,0.64722,0.46738,0.54494,0.81293,0.39058,0.86578,0.00102725,0.00102725,0.00102725
